Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Total,Prize
Greg,8,920.00,Aaron Gossage,35449,1041,-2,67,1037,68,1033,70,1029,205,"$1,975"
Greg,9,910.00,Adam Hammes,57365,1036,-1,68,1033,69,1028,69,1033,206,"$1,790"
Greg,18,820.00,Ezra Robinson,50671,1041,+3,68,1033,67,1037,75,1010,210,"$1,030"
Adam,21,790.00,Paul Krans,132521,1034,+4,72,1015,71,1019,68,1037,211,$750
Adam,21,790.00,Sullivan Tipton,78817,1040,+4,70,1024,70,1024,71,1025,211,$750
Greg,21,790.00,Simon Lizotte,8332,1038,+4,69,1028,70,1024,72,1021,211,$750
Adam,30,700.00,Harry Chace,131546,1023,+6,72,1015,71,1019,70,1029,213,$520
Adam,41,590.00,Kyle Klein,85132,1045,+11,73,1010,71,1019,74,1014,218,
Greg,41,590.00,Ezra Aderhold,121715,1030,+11,77,993,66,1041,75,1010,218,
Adam,50,500.00,Austin Turner,54049,1030,+12,73,1010,72,1015,74,1014,219,
Greg,60,400.00,Gavin Babcock,80331,1034,+16,75,1001,72,1015,76,1006,223,
Greg,70,300.00,Calvin Lonnquist,145206,1013,+22,72,1015,73,1010,84,974,229,
