Team Owner,Place,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Total,Prize
Greg,3,Adam Hammes,57365,1033,-25,54,1069,54,1065,56,1042,164,"$3,500"
Adam,5,Sullivan Tipton,78817,1040,-23,57,1048,55,1058,54,1057,166,"$2,200"
Adam,6,Niklas Anttila,91249,1046,-22,57,1048,56,1051,54,1057,167,"$1,900"
Adam,7,Kyle Klein,85132,1041,-21,59,1034,55,1058,54,1057,168,"$1,501"
Greg,12,Aaron Gossage,35449,1042,-18,54,1069,59,1029,58,1027,171,$983
Adam,16,Cole Redalen,79748,1036,-17,62,1013,55,1058,55,1050,172,$840
Greg,21,Gavin Babcock,80331,1030,-16,57,1048,57,1043,59,1020,173,$692
Adam,29,Paul Krans,132521,1032,-14,60,1027,59,1029,56,1042,175,$532
Greg,29,Ezra Aderhold,121715,1027,-14,58,1041,59,1029,58,1027,175,$532
Adam,34,Austin Turner,54049,1028,-13,61,1020,58,1036,57,1035,176,$475
Greg,40,Ezra Robinson,50671,1037,-12,61,1020,59,1029,57,1035,177,$425
Adam,40,Harry Chace,131546,1024,-12,56,1055,61,1015,60,1012,177,$425
Greg,79,Calvin Lonnquist,145206,1015,E,65,992,64,993,60,1012,189,
