Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Finals,,Total,Prize
Adam,1,1080.00,Cole Redalen,79748,1036,-23,56,1077,59,1059,29,,144,"$13,000"
Greg,7,1020.00,Gavin Babcock,80331,1030,-14,63,1036,58,1065,32,,153,"$2,015"
Adam,12,970.00,Sullivan Tipton,78817,1040,-12,64,1030,61,1048,30,,155,"$1,415"
Adam,14,950.00,Paul Krans,132521,1032,-11,63,1036,64,1030,29,,156,"$1,250"
Adam,25,840.00,Niklas Anttila,91249,1046,-8,68,1007,63,1036,28,,159,$765
Adam,25,840.00,Austin Turner,54049,1028,-8,66,1019,64,1030,29,,159,$765
Greg,25,840.00,Aaron Gossage,35449,1042,-8,64,1030,64,1030,31,,159,$765
Greg,25,840.00,Ezra Aderhold,121715,1027,-8,65,1024,60,1053,34,,159,$765
Adam,32,770.00,Harry Chace,131546,1024,-6,65,1024,68,1007,28,,161,$588
Greg,32,770.00,Ezra Robinson,50671,1037,-6,62,1042,69,1001,30,,161,$588
Adam,36,730.00,Kyle Klein,85132,1041,-5,65,1024,67,1013,30,,162,$478
Greg,36,730.00,Calvin Lonnquist,145206,1015,-5,64,1030,67,1013,31,,162,$478
Greg,36,730.00,Adam Hammes,57365,1033,-5,67,1013,63,1036,32,,162,$478
Greg,42,670.00,Simon Lizotte,8332,1034,-4,64,1030,69,1001,30,,163,$415
