Team Owner,Place,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Finals,,Total,Prize
Greg,3,Gavin Babcock,80331,1031,-29,57,1057,53,1084,65,1013,58,1061,233,"$4,250"
Greg,3,Adam Hammes,57365,1036,-29,61,1030,53,1084,58,1057,61,1042,233,"$4,250"
Greg,7,Ezra Robinson,50671,1036,-24,58,1050,65,1005,58,1057,57,1067,238,"$2,000"
Greg,11,Aaron Gossage,35449,1039,-20,59,1044,62,1025,63,1026,58,1061,242,"$1,450"
Adam,18,Paul Krans,132521,1032,-17,59,1044,58,1051,64,1019,64,1024,245,"$1,075"
Greg,21,Ezra Aderhold,121715,1028,-15,62,1024,64,1011,59,1051,62,1036,247,$960
Greg,23,Simon Lizotte,8332,1033,-13,67,991,55,1071,59,1051,68,1000,249,$840
Adam,28,Cole Redalen,79748,1036,-12,60,1037,62,1025,65,1013,63,1030,250,$705
Greg,36,Calvin Lonnquist,145206,1014,-9,63,1017,61,1031,64,1019,65,1018,253,$510
Adam,48,Austin Turner,54049,1027,-5,63,1017,64,1011,65,1013,65,1018,257,
