Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Finals,,Total,Prize
Adam,3,1540.00,Sullivan Tipton,78817,1039,-23,58,1046,58,1076,64,1048,59,1039,239,"$5,800"
Greg,4,1530.00,Adam Hammes,57365,1037,-17,57,1053,63,1052,66,1038,59,1039,245,"$4,700"
Greg,5,1520.00,Simon Lizotte,8332,1031,-16,62,1019,63,1052,67,1034,54,1073,246,"$3,500"
Adam,12,1450.00,Cole Redalen,79748,1036,-12,60,1032,61,1062,67,1034,62,1019,250,"$1,900"
Adam,17,1400.00,Paul Krans,132521,1034,-9,57,1053,70,1020,66,1038,60,1032,253,"$1,500"
Greg,17,1400.00,Gavin Babcock,80331,1038,-9,54,1073,64,1048,75,996,60,1032,253,"$1,500"
Greg,33,1240.00,Aaron Gossage,35449,1037,-1,55,1066,72,1010,73,1005,61,1025,261,$950
Greg,48,1090.00,Ezra Robinson,50671,1038,+4,60,1032,68,1029,73,1005,65,998,266,$701
Greg,63,940.00,Ezra Aderhold,121715,1023,+7,64,1005,75,996,69,1024,61,1025,269,$131
Adam,68,890.00,Kyle Klein,85132,1038,+8,60,1032,69,1024,73,1005,68,978,270,
Adam,78,790.00,Harry Chace,131546,1026,+13,65,998,70,1020,72,1010,68,978,275,
Adam,78,790.00,Austin Turner,54049,1030,+13,58,1046,73,1005,73,1005,71,957,275,
Greg,85,720.00,Calvin Lonnquist,145206,1017,+16,64,1005,73,1005,74,1001,67,985,278,
