Team Owner,Place,Points,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Finals,,Total,Prize (USD)
Greg,3,1650.00,Gavin Babcock,80331,1037,-23,59,1048,56,1067,58,1054,56,1067,229,"$5,450"
Adam,9,1560.00,Niklas Anttila,91249,1047,-15,57,1060,63,1022,58,1054,59,1047,237,"$2,200"
Greg,12,1515.00,Adam Hammes,57365,1039,-12,56,1067,64,1015,56,1067,64,1015,240,"$1,750"
Adam,16,1455.00,Austin Turner,54049,1028,-10,58,1054,66,1003,57,1060,61,1034,242,"$1,265"
Greg,20,1395.00,Aaron Gossage,35449,1040,-9,69,983,59,1048,60,1041,55,1073,243,"$1,050"
Greg,30,1245.00,Ezra Robinson,50671,1038,-4,59,1048,63,1022,67,996,59,1047,248,$760
Adam,33,1200.00,Sullivan Tipton,78817,1042,-3,67,996,62,1028,61,1034,59,1047,249,$685
Adam,33,1200.00,Cole Redalen,79748,1034,-3,62,1028,63,1022,61,1034,63,1022,249,$685
Adam,42,1065.00,Kyle Klein,85132,1041,-1,59,1048,66,1003,60,1041,66,1002,251,$595
Adam,48,975.00,Harry Chace,131546,1027,+1,63,1022,62,1028,64,1015,64,1015,253,
Greg,63,750.00,Calvin Lonnquist,145206,1017,+9,65,1009,67,996,60,1041,69,983,261,
Greg,76,555.00,Ezra Aderhold,121715,1028,+10,68,990,63,1022,68,989,,,199,
