Team Owner,Place,Name,PDGA#,Rating,Par,Rd1,,Rd2,,Rd3,,Rd4,,Finals,,Total,Prize
Adam,8,Austin Turner,54049,1030,-29,64,1031,59,1054,62,1033,57,1063,57,1061,299,"$5,850"
Greg,10,Aaron Gossage,35449,1035,-28,59,1059,58,1060,59,1052,61,1037,63,1022,300,"$4,550"
Adam,12,Cole Redalen,79748,1038,-26,63,1036,61,1042,58,1058,58,1056,62,1029,302,"$3,083"
Greg,17,Adam Hammes,57365,1039,-23,59,1059,65,1017,59,1052,62,1031,60,1041,305,"$1,940"
Adam,20,Niklas Anttila,91249,1042,-21,60,1054,66,1011,59,1052,63,1025,59,1048,307,"$1,580"
Adam,34,Sullivan Tipton,78817,1041,-13,61,1048,65,1017,68,996,58,1056,63,1022,315,"$1,200"
Adam,37,Harry Chace,131546,1024,-11,65,1025,67,1005,64,1021,59,1050,62,1029,317,"$1,091"
Greg,42,Ezra Aderhold,121715,1022,-10,69,1002,62,1036,67,1002,58,1056,62,1029,318,$998
Greg,51,Ezra Robinson,50671,1034,-8,63,1036,68,999,64,1021,64,1018,61,1035,320,$820
Adam,51,Paul Krans,132521,1036,-8,67,1013,67,1005,60,1047,64,1034,62,1029,320,$820
Greg,57,Simon Lizotte,8332,1032,-6,68,1007,54,1085,67,1002,64,1018,69,984,322,$720
Adam,59,Kyle Klein,85132,1036,-4,70,996,63,1030,64,1021,62,1031,65,1009,324,$675
Greg,70,Gavin Babcock,80331,1038,-1,66,1019,65,1017,64,1021,62,1031,70,977,327,$573
Greg,119,Calvin Lonnquist,145206,1014,+9,66,1019,65,1025,73,965,67,999,,,271,
